DATE,DLTBOARD
1981-07-01,12.920
1981-07-02,12.820
1981-07-03,.
1981-07-06,12.680
1981-07-07,12.910
1981-07-08,12.940
1981-07-09,12.940
1981-07-10,12.760
1981-07-13,12.780
1981-07-14,12.910
1981-07-15,12.810
1981-07-16,12.880
1981-07-17,12.840
1981-07-20,13.290
1981-07-21,13.330
1981-07-22,13.330
1981-07-23,13.290
1981-07-24,13.140
1981-07-27,13.140
1981-07-28,13.240
1981-07-29,13.350
1981-07-30,13.400
1981-07-31,13.370
1981-08-03,.
1981-08-04,.
1981-08-05,.
1981-08-06,.
1981-08-07,.
1981-08-10,.
1981-08-11,.
1981-08-12,.
1981-08-13,.
1981-08-14,.
1981-08-17,13.350
1981-08-18,13.440
1981-08-19,13.420
1981-08-20,13.540
1981-08-21,13.560
1981-08-24,13.970
1981-08-25,14.060
1981-08-26,14.020
1981-08-27,14.060
1981-08-28,13.970
1981-08-31,14.240
1981-09-01,14.140
1981-09-02,14.140
1981-09-03,14.230
1981-09-04,14.260
1981-09-07,.
1981-09-08,14.350
1981-09-09,14.240
1981-09-10,14.120
1981-09-11,14.010
1981-09-14,13.990
1981-09-15,13.890
1981-09-16,13.900
1981-09-17,13.770
1981-09-18,13.720
1981-09-21,13.580
1981-09-22,13.810
1981-09-23,14.030
1981-09-24,14.160
1981-09-25,14.640
1981-09-28,14.520
1981-09-29,14.710
1981-09-30,14.680
1981-10-01,14.660
1981-10-02,14.370
1981-10-05,14.120
1981-10-06,14.090
1981-10-07,13.990
1981-10-08,13.980
1981-10-09,13.770
1981-10-12,.
1981-10-13,13.860
1981-10-14,13.920
1981-10-15,13.880
1981-10-16,13.970
1981-10-19,13.970
1981-10-20,14.040
1981-10-21,14.330
1981-10-22,14.300
1981-10-23,14.230
1981-10-26,14.530
1981-10-27,14.450
1981-10-28,14.400
1981-10-29,14.200
1981-10-30,13.770
1981-11-02,13.690
1981-11-03,.
1981-11-04,13.280
1981-11-05,13.370
1981-11-06,13.200
1981-11-09,12.930
1981-11-10,12.890
1981-11-11,.
1981-11-12,12.750
1981-11-13,12.530
1981-11-16,12.380
1981-11-17,12.530
1981-11-18,12.390
1981-11-19,12.350
1981-11-20,12.390
1981-11-23,12.600
1981-11-24,12.370
1981-11-25,12.190
1981-11-26,.
1981-11-27,12.130
1981-11-30,12.230
1981-12-01,12.440
1981-12-02,12.510
1981-12-03,12.580
1981-12-04,12.280
1981-12-07,12.630
1981-12-08,12.650
1981-12-09,12.820
1981-12-10,13.010
1981-12-11,12.960
1981-12-14,12.810
