caldt,totval,spindx,sprtrn
19251231,15236829.50,,
19260102,15319686.50,,
19260104,15298901.20,,
19260105,15227711.50,,
19260106,15235889.20,,
19260107,15295415.10,,
19260108,15246145.80,,
19260109,15090059.60,,
19260111,15179515.60,,
19260112,15155273.80,,
19260113,15207784.90,,
19260114,15120621.10,,
19260115,14924374.10,,
19260116,14967051.10,,
19260118,14983984.40,,
19260119,14811064.50,,
19260120,14902689.80,,
19260121,14861463.00,,
19260122,14938221.90,,
19260123,14656873.90,,
19260125,15090535.00,,
19260126,15000600.10,,
19260127,15083144.90,,
19260128,15147018.90,,
19260129,15277525.90,,
19260130,15277664.00,,
19260201,15257380.10,,
19260202,15298903.00,,
19260203,15371227.00,,
19260204,15444695.70,,
19260205,15425004.90,,
19260206,15423724.80,,
19260208,15332428.50,,
19260209,15381888.40,,
19260210,15428054.90,,
19260211,15452080.50,,
19260213,15455180.90,,
19260215,15145851.00,,
19260216,15213115.90,,
19260217,15305130.80,,
19260218,15324389.90,,
19260219,15322204.60,,
19260220,15305459.00,,
19260223,15155495.90,,
19260224,15091426.10,,
19260225,14898459.00,,
19260226,14693045.20,,
19260227,14712894.90,,
19260301,14525876.50,,
19260302,14352319.40,,
19260303,14105655.60,,
19260304,14701937.10,,
19260305,14746916.00,,
19260306,14605991.50,,
19260308,14608554.50,,
19260309,14680387.50,,
19260310,14824514.00,,
19260311,14919365.60,,
19260312,14964596.60,,
19260313,14702345.90,,
19260315,14744748.60,,
19260316,14686072.20,,
19260317,14613571.80,,
19260318,14429830.10,,
19260319,14345388.80,,
19260320,14371874.50,,
19260322,14487066.10,,
19260323,14393115.40,,
19260324,14156024.90,,
19260325,14134227.20,,
19260326,14164882.50,,
19260327,13887337.10,,
19260329,13711143.10,,
19260330,13544208.40,,
19260331,14012079.20,,
19260401,14042667.20,,
19260403,13745034.80,,
19260405,14127728.80,,
19260406,14262719.40,,
19260407,13835258.20,,
19260408,14129148.10,,
19260409,14150859.90,,
19260410,14107746.20,,
19260412,13838183.40,,
19260413,13962952.40,,
19260414,13796051.20,,
19260415,13816751.40,,
19260416,13812112.90,,
19260417,13866277.60,,
19260419,13877050.70,,
19260420,13941661.10,,
19260421,14157306.10,,
19260422,14288573.80,,
19260423,14452911.90,,
19260424,14535690.20,,
19260426,14450207.10,,
19260427,14433474.60,,
19260428,14533673.50,,
19260429,14553498.40,,
19260430,14500482.20,,
19260501,14210131.00,,
19260503,14221501.50,,
19260504,14304389.40,,
19260505,14314042.10,,
19260506,14343208.20,,
19260507,14230118.10,,
19260508,14220665.90,,
19260510,14139482.60,,
19260511,14143196.10,,
19260512,14208141.40,,
19260513,14264309.80,,
19260514,14237845.40,,
19260515,14203879.40,,
19260517,14195806.20,,
19260518,14175942.90,,
19260519,14133838.10,,
19260520,14278273.00,,
19260521,14363182.20,,
19260522,14328849.40,,
19260524,14440547.10,,
