DATE,DBAA
1986-01-02,11.38
1986-01-03,11.35
1986-01-06,11.36
1986-01-07,11.29
1986-01-08,11.34
1986-01-09,11.43
1986-01-10,11.45
1986-01-13,11.52
1986-01-14,11.46
1986-01-15,11.51
1986-01-16,11.47
1986-01-17,11.44
1986-01-20,11.46
1986-01-21,11.46
1986-01-22,11.51
1986-01-23,11.52
1986-01-24,11.49
1986-01-27,11.48
1986-01-28,11.46
1986-01-29,11.43
1986-01-30,11.42
1986-01-31,11.37
1986-02-03,11.32
1986-02-04,11.25
1986-02-05,11.25
1986-02-06,11.28
1986-02-07,11.33
1986-02-10,11.30
1986-02-11,11.28
1986-02-12,11.27
1986-02-13,11.23
1986-02-14,11.15
1986-02-17,.
1986-02-18,11.13
1986-02-19,11.13
1986-02-20,11.11
1986-02-21,11.02
1986-02-24,10.95
1986-02-25,10.94
1986-02-26,10.87
1986-02-27,10.71
1986-02-28,10.62
1986-03-03,10.56
1986-03-04,10.53
1986-03-05,10.60
1986-03-06,10.62
1986-03-07,10.64
1986-03-10,10.55
1986-03-11,10.52
1986-03-12,10.47
1986-03-13,10.50
1986-03-14,10.44
1986-03-17,10.45
1986-03-18,10.51
1986-03-19,10.53
1986-03-20,10.51
1986-03-21,10.49
1986-03-24,10.43
1986-03-25,10.44
1986-03-26,10.43
1986-03-27,10.37
1986-03-28,.
1986-03-31,10.31
1986-04-01,10.28
1986-04-02,10.25
1986-04-03,10.26
1986-04-04,10.29
1986-04-07,10.30
1986-04-08,10.24
1986-04-09,10.21
1986-04-10,10.20
1986-04-11,10.25
1986-04-14,10.17
1986-04-15,10.20
1986-04-16,10.14
1986-04-17,10.18
1986-04-18,9.97
1986-04-21,10.01
1986-04-22,10.06
1986-04-23,10.12
1986-04-24,10.21
1986-04-25,10.26
1986-04-28,10.23
1986-04-29,10.20
1986-04-30,10.16
1986-05-01,10.18
1986-05-02,10.24
1986-05-05,10.16
1986-05-06,10.16
1986-05-07,10.16
1986-05-08,10.15
1986-05-09,10.19
1986-05-12,10.25
1986-05-13,10.23
1986-05-14,10.26
1986-05-15,10.35
1986-05-16,10.38
1986-05-19,10.39
1986-05-20,10.34
1986-05-21,10.37
1986-05-22,10.36
1986-05-23,10.37
1986-05-26,.
1986-05-27,10.32
1986-05-28,10.34
1986-05-29,10.39
1986-05-30,10.41
1986-06-02,10.51
1986-06-03,10.50
1986-06-04,10.45
1986-06-05,10.46
1986-06-06,10.41
1986-06-09,10.48
1986-06-10,10.47
1986-06-11,10.44
1986-06-12,10.43
1986-06-13,10.35
1986-06-16,10.29
1986-06-17,10.29
1986-06-18,10.28
1986-06-19,10.33
1986-06-20,10.28
1986-06-23,10.23
1986-06-24,10.20
1986-06-25,10.21
1986-06-26,10.18
1986-06-27,10.18
1986-06-30,10.16
1986-07-01,10.15
1986-07-02,10.16
1986-07-03,10.13
1986-07-04,.
1986-07-07,10.15
1986-07-08,10.16
1986-07-09,10.14
1986-07-10,10.11
1986-07-11,10.14
1986-07-14,10.09
1986-07-15,10.06
1986-07-16,10.08
1986-07-17,10.12
1986-07-18,10.13
1986-07-21,10.11
1986-07-22,10.14
1986-07-23,10.12
1986-07-24,10.23
1986-07-25,10.26
1986-07-28,10.32
1986-07-29,10.29
1986-07-30,10.28
1986-07-31,10.25
1986-08-01,10.25
1986-08-04,10.24
1986-08-05,10.27
1986-08-06,10.34
1986-08-07,10.33
1986-08-08,10.29
1986-08-11,10.30
1986-08-12,10.29
1986-08-13,10.24
1986-08-14,10.22
1986-08-15,10.26
1986-08-18,10.14
1986-08-19,10.13
1986-08-20,10.11
1986-08-21,10.09
1986-08-22,10.11
1986-08-25,10.06
1986-08-26,10.03
1986-08-27,10.07
1986-08-28,10.03
1986-08-29,10.02
1986-09-01,.
1986-09-02,10.06
1986-09-03,10.08
1986-09-04,10.07
1986-09-05,10.12
1986-09-08,10.21
1986-09-09,10.18
1986-09-10,10.16
1986-09-11,10.25
1986-09-12,10.27
1986-09-15,10.24
1986-09-16,10.23
1986-09-17,10.20
1986-09-18,10.25
1986-09-19,10.28
1986-09-22,10.29
1986-09-23,10.26
1986-09-24,10.22
1986-09-25,10.21
1986-09-26,10.21
1986-09-29,10.25
1986-09-30,10.20
1986-10-01,10.22
1986-10-02,10.26
1986-10-03,10.23
1986-10-06,10.23
1986-10-07,10.23
1986-10-08,10.25
1986-10-09,10.25
1986-10-10,10.23
1986-10-13,10.25
1986-10-14,10.23
1986-10-15,10.24
1986-10-16,10.27
1986-10-17,10.28
1986-10-20,10.30
1986-10-21,10.29
1986-10-22,10.25
1986-10-23,10.23
1986-10-24,10.24
1986-10-27,10.20
1986-10-28,10.22
1986-10-29,10.21
1986-10-30,10.17
1986-10-31,10.16
1986-11-03,10.10
1986-11-04,10.09
1986-11-05,10.06
1986-11-06,10.09
1986-11-07,10.13
1986-11-10,10.14
1986-11-11,10.15
1986-11-12,10.11
1986-11-13,10.11
1986-11-14,10.11
1986-11-17,10.07
1986-11-18,10.07
1986-11-19,10.05
1986-11-20,10.02
1986-11-21,10.01
1986-11-24,9.99
1986-11-25,9.99
1986-11-26,9.99
1986-11-27,.
1986-11-28,10.00
1986-12-01,10.00
1986-12-02,10.00
1986-12-03,9.98
1986-12-04,9.97
1986-12-05,9.94
1986-12-08,9.98
1986-12-09,9.97
1986-12-10,9.95
1986-12-11,9.95
1986-12-12,9.98
1986-12-15,9.98
1986-12-16,9.97
1986-12-17,9.98
1986-12-18,9.98
1986-12-19,9.95
1986-12-22,9.99
1986-12-23,9.99
1986-12-24,9.98
1986-12-25,.
1986-12-26,9.96
1986-12-29,9.92
1986-12-30,9.98
1986-12-31,9.99
1987-01-01,.
1987-01-02,9.97
1987-01-05,9.90
1987-01-06,9.86
1987-01-07,9.82
1987-01-08,9.76
1987-01-09,9.74
1987-01-12,9.72
1987-01-13,9.72
1987-01-14,9.72
1987-01-15,9.69
1987-01-16,9.67
1987-01-19,9.67
1987-01-20,9.64
1987-01-21,9.64
1987-01-22,9.64
1987-01-23,9.64
1987-01-26,9.67
1987-01-27,9.68
1987-01-28,9.70
1987-01-29,9.68
1987-01-30,9.68
1987-02-02,9.68
1987-02-03,9.65
1987-02-04,9.67
1987-02-05,9.63
1987-02-06,9.61
1987-02-09,9.61
1987-02-10,9.65
1987-02-11,9.69
