DATE,DTB3
1954-01-04,1.330
1954-01-05,1.280
1954-01-06,1.280
1954-01-07,1.310
1954-01-08,1.310
1954-01-11,1.330
1954-01-12,1.300
1954-01-13,1.300
1954-01-14,1.280
1954-01-15,1.200
1954-01-18,1.200
1954-01-19,.
1954-01-20,1.160
1954-01-21,1.080
1954-01-22,1.000
1954-01-25,1.000
1954-01-26,1.000
1954-01-27,1.080
1954-01-28,0.960
1954-01-29,1.020
1954-02-01,1.040
1954-02-02,1.000
1954-02-03,1.020
1954-02-04,1.010
1954-02-05,0.900
1954-02-08,0.890
1954-02-09,0.880
1954-02-10,0.930
1954-02-11,0.940
1954-02-12,.
1954-02-15,0.980
1954-02-16,0.980
1954-02-17,1.020
1954-02-18,0.970
1954-02-19,0.960
1954-02-22,.
1954-02-23,0.950
1954-02-24,0.970
1954-02-25,1.000
1954-02-26,1.000
1954-03-01,1.030
1954-03-02,1.030
1954-03-03,1.050
1954-03-04,1.030
1954-03-05,1.020
1954-03-08,1.030
1954-03-09,1.030
1954-03-10,1.060
1954-03-11,1.050
1954-03-12,1.040
1954-03-15,1.040
1954-03-16,1.020
1954-03-17,1.010
1954-03-18,1.010
1954-03-19,1.000
1954-03-22,1.000
1954-03-23,1.000
1954-03-24,1.050
1954-03-25,1.070
1954-03-26,1.050
1954-03-29,1.050
1954-03-30,1.040
1954-03-31,1.030
1954-04-01,1.020
1954-04-02,1.000
1954-04-05,0.980
1954-04-06,0.970
1954-04-07,1.000
1954-04-08,1.000
1954-04-09,1.030
1954-04-12,1.040
1954-04-13,1.060
1954-04-14,1.040
1954-04-15,1.030
1954-04-16,1.030
1954-04-19,1.020
1954-04-20,1.000
1954-04-21,1.000
1954-04-22,0.980
1954-04-23,0.940
1954-04-26,0.850
1954-04-27,0.830
1954-04-28,0.820
1954-04-29,0.810
1954-04-30,0.810
1954-05-03,0.770
1954-05-04,0.720
1954-05-05,0.720
1954-05-06,0.750
1954-05-07,0.790
1954-05-10,0.800
1954-05-11,0.780
1954-05-12,0.820
1954-05-13,0.820
1954-05-14,0.800
1954-05-17,0.800
1954-05-18,0.810
1954-05-19,0.790
1954-05-20,0.780
1954-05-21,0.760
1954-05-24,0.730
1954-05-25,0.700
1954-05-26,0.700
1954-05-27,0.700
1954-05-28,0.720
1954-05-31,.
1954-06-01,0.710
1954-06-02,0.710
1954-06-03,0.680
1954-06-04,0.660
1954-06-07,0.610
1954-06-08,0.610
1954-06-09,0.620
1954-06-10,0.610
1954-06-11,0.620
1954-06-14,0.640
1954-06-15,0.630
1954-06-16,0.630
1954-06-17,0.610
1954-06-18,0.630
1954-06-21,0.630
1954-06-22,0.610
1954-06-23,0.620
1954-06-24,0.620
1954-06-25,0.640
1954-06-28,0.640
1954-06-29,0.640
1954-06-30,0.640
1954-07-01,0.650
1954-07-02,0.660
1954-07-05,.
1954-07-06,0.660
1954-07-07,0.650
1954-07-08,0.650
1954-07-09,0.670
1954-07-12,0.690
1954-07-13,0.700
1954-07-14,0.730
1954-07-15,0.750
1954-07-16,0.730
1954-07-19,0.730
1954-07-20,0.720
1954-07-21,0.740
1954-07-22,0.750
1954-07-23,0.770
1954-07-26,0.780
1954-07-27,0.770
1954-07-28,0.790
1954-07-29,0.790
1954-07-30,0.790
1954-08-02,0.780
1954-08-03,0.770
1954-08-04,0.790
1954-08-05,0.800
1954-08-06,0.830
1954-08-09,0.900
1954-08-10,0.880
1954-08-11,0.930
1954-08-12,0.930
1954-08-13,0.930
1954-08-16,0.910
1954-08-17,0.910
1954-08-18,0.920
1954-08-19,0.930
1954-08-20,0.940
1954-08-23,1.000
1954-08-24,1.000
1954-08-25,0.980
1954-08-26,0.990
1954-08-27,1.000
1954-08-30,1.040
1954-08-31,1.050
1954-09-01,1.030
1954-09-02,1.020
1954-09-03,1.020
